Student_Id,Gender,Python_Marks,DS_Marks,DA_Marks
ZS_01,Male,67,77,80
ZS_02,Male,89,88,90
ZS_03,Male,110,99,100
ZS_04,Male,90,66,78
ZS_05,Male,87,55,39
ZS_06,Male,59,44,48
ZS_07,Male,39,45,58
ZS_08,Male,69,49,69
ZS_09,Male,78,89,29
ZS_10,Male,78,67,49
ZS_11,Male,49,39,59
ZS_12,Male,90,67,60
ZS_13,Female,80,77,59
ZS_14,Female,78,78,77
ZS_15,Female,89,89,88
ZS_16,Female,60,89,99
ZS_17,Female,90,100,66
ZS_18,Female,61,90,55
ZS_19,Female,98,87,44
ZS_20,Female,,59,56
ZS_21,Female,67,39,57
ZS_22,Female,80,69,89
ZS_23,Female,250,78,115
ZS_24,Female,100,,90
ZS_25,Male,78,49,98
ZS_26,Female,39,90,97
ZS_27,Male,48,80,66
ZS_28,Female,58,78,69
ZS_29,Male,,,98
ZS_30,Male,29,60,89
ZS_31,Female,49,90,87
ZS_32,Male,59,61,78
ZS_33,Female,,98,67
ZS_34,Male,59,77,86
ZS_35,Male,77,56,78
ZS_36,Male,88,89,89
ZS_37,Female,99,89,
ZS_38,Female,66,124,97
ZS_39,Male,55,45,95
ZS_40,Female,44,67,67
ZS_41,Female,45,78,43
ZS_42,Male,,,56
ZS_43,Male,89,89,67
ZS_44,Male,67,90,78
ZS_45,Female,39,100,89
ZS_46,Female,67,18,90
ZS_47,Female,77,45,67
ZS_48,Female,78,67,44
ZS_49,Male,89,80,56
ZS_50,Female,56,89,90
ZS_51,Male,89,100,100
ZS_52,Male,89,90,78
ZS_53,Male,67,87,39
ZS_54,Female,45,59,48
ZS_55,Female,67,39,58
ZS_56,Male,78,69,69
ZS_57,Female,56,78,29
ZS_58,Female,89,78,49
ZS_59,Male,90,49,59
ZS_60,Male,100,90,60
ZS_61,Male,18,80,59
ZS_62,Female,45,78,77
ZS_63,Female,67,89,88
ZS_64,Female,80,60,99
ZS_65,Female,78,90,66
ZS_66,Male,89,61,55
ZS_67,Female,90,98,44
ZS_68,Male,97,90,56
ZS_69,Male,95,100,57
ZS_70,Male,67,78,89
ZS_71,Female,43,39,89
ZS_72,Female,56,48,90
ZS_73,Male,67,58,98
ZS_74,Female,78,69,97
ZS_75,Female,89,29,66
ZS_76,Male,90,49,69
ZS_77,Male,67,59,98
ZS_78,Male,44,60,89
ZS_79,Female,56,59,87
ZS_80,Female,78,77,78
ZS_81,Female,89,88,67
ZS_82,Female,90,99,86
ZS_83,Male,97,66,78
ZS_84,Female,95,55,89
ZS_85,Male,67,44,90
ZS_86,Male,43,56,97
ZS_87,Male,56,57,95
ZS_88,Female,67,89,67
ZS_89,Female,78,89,86
ZS_90,Male,89,90,78
ZS_91,Female,90,98,89
ZS_92,Female,67,97,90
ZS_93,Male,44,66,97
ZS_94,Male,56,69,95
ZS_95,Male,78,98,67
ZS_96,Female,89,89,67
ZS_97,Female,90,87,89
ZS_98,Female,67,78,90
ZS_99,Female,44,67,98
ZS_100,Female,89,89,67
ZS_101,Female,67,90,78
ZS_102,Male,39,100,89
ZS_103,Female,67,18,90
ZS_104,Female,77,45,67
ZS_105,Male,78,67,44
ZS_106,Male,89,80,56
ZS_107,Male,56,89,90
ZS_108,Female,89,100,100
ZS_109,Female,89,90,78
ZS_110,Female,67,87,39
ZS_111,Female,45,59,48
ZS_112,Male,67,39,58
ZS_113,Female,78,69,69
ZS_114,Male,56,78,29
ZS_115,Male,89,78,49
ZS_116,Male,90,49,59
ZS_117,Female,100,90,60
ZS_118,Female,89,89,67
ZS_119,Male,67,90,78
ZS_120,Female,39,100,89
ZS_121,Female,67,18,90
ZS_122,Male,77,45,67
ZS_123,Male,78,67,44
ZS_124,Male,89,80,56
ZS_125,Female,56,89,90
ZS_126,Female,89,100,100
ZS_127,Female,89,90,78
ZS_128,Female,67,87,39
ZS_129,Male,45,59,48
ZS_130,Female,67,39,58
ZS_131,Female,78,69,69
ZS_132,Male,56,78,29
ZS_133,Male,89,78,49
ZS_134,Male,90,49,59
ZS_135,Female,100,90,60
ZS_136,Female,89,89,67
ZS_137,Female,67,90,78
ZS_138,Female,39,100,89
ZS_139,Male,67,18,90
ZS_140,Female,77,45,67
ZS_141,Male,78,67,44
ZS_142,Male,89,80,56
ZS_143,Male,56,89,90
ZS_144,Female,89,100,100
ZS_145,Female,89,90,78
ZS_146,Male,67,87,39
ZS_147,Female,45,59,48
ZS_148,Female,67,39,58
ZS_149,Male,78,69,69
ZS_150,Male,56,78,29
ZS_151,Male,89,78,49
ZS_152,Female,90,49,59
ZS_153,Female,100,90,60
ZS_154,Female,89,89,67
ZS_155,Female,67,90,78
ZS_156,Male,39,100,89
ZS_157,Female,67,18,90
ZS_158,Female,77,45,67
ZS_159,Male,78,67,44
ZS_160,Male,89,80,56
ZS_161,Male,56,89,90
ZS_162,Female,89,100,100
ZS_163,Female,89,90,78
ZS_164,Female,67,87,39
ZS_165,Female,45,59,48
ZS_166,Male,67,39,58
ZS_167,Female,78,69,69
ZS_168,Male,56,78,29
ZS_169,Male,89,78,49
ZS_170,Male,90,49,59
ZS_171,Female,100,90,60
ZS_172,Female,89,89,67
ZS_173,Male,67,90,78
ZS_174,Female,39,100,89
ZS_175,Female,67,18,90
ZS_176,Male,77,45,67
ZS_177,Male,78,67,44
ZS_178,Male,89,80,56
ZS_179,Female,56,89,90
ZS_180,Female,89,100,100
ZS_181,Female,89,90,78
